setup,n_seed,test/acc,test/acc_std,test/auprc,test/auprc_std,test/auroc,test/auroc_std,test/bal_acc,test/bal_acc_std,test/f1_macro,test/f1_macro_std,test/mcc,test/mcc_std,inference_ms_per_doc,trainable_params
mtsamples_gnn_g128_both,5,0.8022,0.0387,0.8571,0.0346,0.9761,0.0042,0.7669,0.0487,0.7668,0.0519,0.7670,0.0457,3.147,469642
mtsamples_gnn_g128_knn,5,0.7989,0.0380,0.8463,0.0414,0.9749,0.0055,0.7673,0.0495,0.7632,0.0508,0.7633,0.0447,3.139,469642
mtsamples_gnn_g128_sequential,5,0.7596,0.0494,0.8198,0.0495,0.9724,0.0054,0.7334,0.0448,0.7044,0.0637,0.7180,0.0558,1.965,469642
mtsamples_gnn_g64_both,5,0.8045,0.0406,0.8436,0.0357,0.9742,0.0048,0.7619,0.0346,0.7592,0.0432,0.7693,0.0463,3.337,469642
mtsamples_gnn_g64_knn,5,0.7753,0.0475,0.8418,0.0467,0.9717,0.0083,0.7481,0.0443,0.7371,0.0496,0.7361,0.0539,3.315,469642
mtsamples_gnn_g64_sequential,5,0.7742,0.0484,0.8445,0.0371,0.9731,0.0063,0.7649,0.0481,0.7444,0.0526,0.7372,0.0545,1.990,469642
mtsamples_mil_g128,5,0.7674,0.0362,0.8071,0.0363,0.9698,0.0065,0.7220,0.0495,0.7062,0.0423,0.7278,0.0422,0.644,495754
mtsamples_mil_g64,5,0.7494,0.0272,0.7980,0.0474,0.9675,0.0072,0.7198,0.0169,0.7054,0.0253,0.7072,0.0286,0.647,495754
mtsamples_whole_text_g64,5,0.8483,0.0286,0.8632,0.0219,0.9785,0.0032,0.7836,0.0333,0.7897,0.0364,0.8201,0.0342,26.101,108609033
