setup,n_seed,test/acc,test/acc_std,test/auprc,test/auprc_std,test/auroc,test/auroc_std,test/bal_acc,test/bal_acc_std,test/f1,test/f1_std,test/mcc,test/mcc_std,inference_ms_per_doc,trainable_params
daic_gnn_g128_both,5,0.6000,0.0488,0.5052,0.1048,0.6330,0.1057,0.4571,0.3084,0.3433,0.2001,0.1368,0.1055,4.208,469122
daic_gnn_g128_knn,5,0.5522,0.0222,0.5474,0.0630,0.6777,0.0422,0.7000,0.0700,0.4866,0.0282,0.1753,0.0444,4.206,469122
daic_gnn_g128_sequential,5,0.5435,0.1389,0.5331,0.1421,0.6723,0.1313,0.6714,0.2914,0.4533,0.1500,0.1244,0.2130,2.386,469122
daic_gnn_g64_both,5,0.5609,0.0733,0.5148,0.1155,0.6567,0.1151,0.6571,0.3681,0.4112,0.2159,0.1628,0.1908,4.775,469122
daic_gnn_g64_knn,5,0.5652,0.1395,0.5165,0.1312,0.6504,0.1178,0.6429,0.3557,0.4381,0.1567,0.1496,0.2270,4.693,469122
daic_gnn_g64_sequential,5,0.5000,0.1290,0.5331,0.0948,0.6692,0.0777,0.8714,0.1143,0.5212,0.0515,0.1879,0.1777,2.388,469122
daic_mil_g128,5,0.5435,0.0307,0.4418,0.1345,0.5589,0.1160,0.4714,0.2330,0.3595,0.1535,0.0342,0.1576,1.051,492674
daic_mil_g64,5,0.5696,0.0679,0.3524,0.0541,0.5290,0.1123,0.4714,0.2286,0.3723,0.1410,0.0750,0.1189,1.136,492674
daic_whole_text_g64,5,0.5913,0.0522,0.4330,0.0460,0.5920,0.0495,0.4286,0.1010,0.3859,0.0533,0.0893,0.0719,37.717,109777921
