setup,n_seed,test/acc,test/acc_std,test/auprc,test/auprc_std,test/auroc,test/auroc_std,test/bal_acc,test/bal_acc_std,test/f1_macro,test/f1_macro_std,test/mcc,test/mcc_std,inference_ms_per_doc,trainable_params
imcs21_gnn_g128_both_cv,10,0.6152,0.0167,0.6706,0.0127,0.9314,0.0030,0.6244,0.0145,0.6247,0.0165,0.5700,0.0177,3.116,469707
imcs21_gnn_g128_knn_cv,10,0.6083,0.0241,0.6687,0.0214,0.9313,0.0057,0.6215,0.0234,0.6150,0.0251,0.5631,0.0269,3.074,469707
imcs21_gnn_g128_sequential_cv,10,0.6144,0.0182,0.6812,0.0140,0.9345,0.0038,0.6153,0.0204,0.6149,0.0181,0.5689,0.0204,2.645,469707
imcs21_gnn_g64_both_cv,10,0.6081,0.0157,0.6676,0.0119,0.9299,0.0020,0.6181,0.0118,0.6168,0.0169,0.5623,0.0164,3.263,469707
imcs21_gnn_g64_knn_cv,10,0.5984,0.0201,0.6580,0.0173,0.9280,0.0036,0.6088,0.0177,0.6010,0.0166,0.5518,0.0222,3.252,469707
imcs21_gnn_g64_sequential_cv,10,0.6145,0.0249,0.6778,0.0195,0.9326,0.0035,0.6248,0.0268,0.6189,0.0253,0.5697,0.0280,2.688,469707
imcs21_mil_g128_cv,10,0.6281,0.0305,0.7020,0.0154,0.9412,0.0036,0.6447,0.0248,0.6341,0.0271,0.5863,0.0330,0.818,496139
imcs21_mil_g64_cv,10,0.6270,0.0144,0.6986,0.0153,0.9395,0.0024,0.6364,0.0118,0.6305,0.0114,0.5836,0.0155,0.890,496139
imcs21_whole_text_g64_cv,10,0.6810,0.0204,0.7565,0.0187,0.9469,0.0068,0.6953,0.0239,0.6955,0.0226,0.6434,0.0224,38.050,102566794
